Manufacturer,Brand,Product Name,Model Number,Input Power Type,Fixture Maximum Ambient Temp,Width,Height,Diameter,Warranty,Length,Date Qualified,Reported Minimum Input Voltage,Reported Maximum Input Voltage,Spectrally Tunable,Dimmable,Reported Photosynthetic Photon Efficacy (400-700nm),Reported Photosynthetic Photon Flux (400-700nm),Reported Minimum Photosynthetic Photon Flux,Reported Default Photosynthetic Photon Flux,Reported Photon Flux Blue (400-500nm),Reported Photon Flux Green (500-600nm),Reported Photon Flux Red (600-700nm),Reported Photon Flux Far Red (700-800nm),Reported Photon Flux (280-800nm),Reported Photon Efficacy (280-800nm),Tested Photosynthetic Photon Efficacy (400-700nm),Tested Photosynthetic Photon Flux (400-700nm),Tested Photon Flux Blue (400-500nm),Tested Photon Flux Green (500-600nm),Tested Photon Flux Red (600-700nm),Tested Photon Flux Far Red (700-800nm),Tested Photon Flux (280-800nm),Tested Photon Efficacy (280-800nm),Reported Input Wattage,Reported Default Input Wattage,Reported Minimum Input Wattage,Reported Power Factor,Reported Total Harmonic Distortion,Tested Input Wattage,Tested Voltage for Minimum Efficacy,Tested Power Factor,Tested Total Harmonic Distortion,Tested DC Input Current,Dimming and Control Method to the Product
001Pozeen dba Pozeen LED LTD,001Pozeen,Horticultural Lighting,GLPI630HU660D11,AC,50,43.14,2.91,,5,46.8 in,2021-11-30,240,240,No,TRUE,4.06,2435.7,,,0.8,1.6,2433.5,6.7,,,4.06,2435.72,0.75,1.62,2433.48,6.65,,,600,600,0,0.978,6.3,599.67,240,0.978,6.3,,0-10V ANSI C137.1 (9V)
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRB_LB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.87,550,192.5,550,32,,518,,550,3.87,3.81,540,30,1,509,2,543,3.83,142,142,49.7,0.95,15,141.8,200,1,9.5,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRB_LB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.87,550,192.5,550,32,,518,,550,3.87,3.81,540,30,1,509,2,543,3.83,142,142,49.7,0.95,15,141.8,200,1,9.5,,Power Line Commincation
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra Plus,ParFX Ultra Plus R95:B5,AC,35,13.98,4.13,,5,22.8 in,2023-11-30,277,400,No,TRUE,3.84,3996,0,3996.3,182,4,3811,23,,,3.84,3996,182,4,3811,23,,,1041,1041,0,0.996,8,1041,277,0.996,7.9,,0-10V Other Protocol
Hawthorne Gardening Company,Agrolux,WEGA Plus,HGC906377,AC,35,10.63,4.72,,5,24.0 in,2024-07-22,220,400,No,TRUE,3.81,3002,0,3002.3,154,3,2845,19,,,3.81,3002,154,3,2845,19,,,788,788,<2W,0.996,6,787.9,220,0.955,11.1,,"0-10V Other Protocol, Power Line Communication (PLC) to 0-10V with internal controller, NA"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRB_MB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.79,550,192.5,550,61,,490,,550,3.79,3.73,540,57,1,482,2,542,3.75,145,145,50.8,0.95,15,144.7,200,1,9.4,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 550 DRB_MB 200-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,200,400,No,TRUE,3.79,550,192.5,550,61,,490,,550,3.79,3.73,540,57,1,482,2,542,3.75,145,145,50.8,0.95,15,144.7,200,1,9.4,,Power Line Commincation
P.L. Light Systems Canada Inc.,ParFX,ParFX Ultra,ParFX Ultra R95:B5,AC,35,11.65,3.66,,5,24.0 in,2023-11-30,277,400,No,TRUE,3.73,2816,0,2815.7,138,1,2677,12,,,3.73,2816,138,1,2677,12,,,755,755,0,0.995,8,754.6,277,0.995,8.1,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,"TLF20 3900 3.8 RWLB 277-400V [CC2,WC2] QB",AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.71,3861,0,3900,193,193,3475,39,3900,3.75,,,,,,,,,1040,1040,0,0.98,10,,,,,,"Zigbee - Manufacturer Specific, Power Line Communication, No"
Hawthorne Gardening Company,Agrolux,WEGA Plus ECO LT,HGC906317,AC,35,11,6.5,,5,12.0 in,2024-08-21,220,400,No,TRUE,3.71,2022,277.9,2021.7,96,2,1924,11,,,3.71,2022,96,2,1924,11,,,545,545,77,0.996,4,544.8,220,0.953,9.1,,"Power Line Communication, No"
